NOMGEO,Control,IngresoPerCapita,TamanoGrupos,Escuelas,PorcentajeEscuela,Alumnos,EscuelasPerCap,DocentesPerCap,Docentes
Álvaro Obregón,PÚBLICO,10019.17632,26.87653599,146,0.616033755,45932,3.178611861,36.98946268,1699
Azcapotzalco,PÚBLICO,8704.379821,23.23429542,109,0.756944444,27370,3.98246255,43.11289733,1180
Benito Juárez,PÚBLICO,17057.19246,23.48,57,0.407142857,14088,4.045996593,41.95059625,591
Coyoacán,PÚBLICO,8113.512819,27.32938389,109,0.553299492,34599,3.150380069,36.30162721,1256
Cuajimalpa de Morelos,PÚBLICO,8833.246575,29.00733945,40,0.444444444,15809,2.530204314,34.22101335,541
Cuauhtémoc,PÚBLICO,12860.19475,23.10218978,137,0.717277487,31650,4.328593997,43.31753555,1371
Gustavo A. Madero,PÚBLICO,6062.14207,25.59263332,295,0.665914221,93106,3.16843168,38.96633944,3628
Iztacalco,PÚBLICO,6431.20856,26.17518248,96,0.695652174,28688,3.346346905,37.92526492,1088
Iztapalapa,PÚBLICO,4362.04928,27.75859519,402,0.71657754,150174,2.676894802,35.80513271,5377
La Magdalena Contreras,PÚBLICO,6547.985621,27.6503937,49,0.710144928,17558,2.790750655,35.93803394,631
Miguel Hidalgo,PÚBLICO,14128.95496,25.30204573,77,0.566176471,21026,3.662132598,39.95053743,840
Milpa Alta,PÚBLICO,3466.664621,32.11965812,34,0.739130435,15032,2.261841405,31.0005322,466
Tláhuac,PÚBLICO,4029.063496,30.53917439,81,0.743119266,36250,2.234482759,32.77241379,1188
Tlalpan,PÚBLICO,5578.796065,30.62633229,116,0.542056075,48849,2.374664783,32.52881328,1589
Venustiano Carranza,PÚBLICO,6599.573721,25.08857616,113,0.738562092,30307,3.728511565,40.05675257,1214
Xochimilco,PÚBLICO,4120.539841,30.25,81,0.604477612,36058,2.246380831,33.22424982,1198
Álvaro Obregón,PRIVADO,10019.17632,18.61723701,91,0.383966245,14689,6.195111989,48.06317653,706
Azcapotzalco,PRIVADO,8704.379821,18.55625,35,0.243055556,5938,5.894240485,44.29100707,263
Benito Juárez,PRIVADO,17057.19246,18.40026076,83,0.592857143,14113,5.88110253,45.06483384,636
Coyoacán,PRIVADO,8113.512819,17.27089337,88,0.446700508,11986,7.341898882,50.72584682,608
Cuajimalpa de Morelos,PRIVADO,8833.246575,19.89634146,50,0.555555556,9789,5.107774032,44.74410052,438
Cuauhtémoc,PRIVADO,12860.19475,18.33,54,0.282722513,7332,7.36497545,47.59956356,349
Gustavo A. Madero,PRIVADO,6062.14207,16.81180812,148,0.334085779,18224,8.121158911,56.07989464,1022
Iztacalco,PRIVADO,6431.20856,15.03272727,42,0.304347826,4134,10.15965167,65.31204644,270
Iztapalapa,PRIVADO,4362.04928,16.50271248,159,0.28342246,18252,8.711374096,61.14398422,1116
La Magdalena Contreras,PRIVADO,6547.985621,17.19736842,20,0.289855072,2614,7.651109411,55.08798776,144
Miguel Hidalgo,PRIVADO,14128.95496,17.89221557,59,0.433823529,8964,6.581883088,56.33645694,505
Milpa Alta,PRIVADO,3466.664621,11.82089552,12,0.260869565,792,15.15151515,84.5959596,67
Tláhuac,PRIVADO,4029.063496,14.45,28,0.256880734,3179,8.807801195,66.05850897,210
Tlalpan,PRIVADO,5578.796065,17.3704698,98,0.457943925,12941,7.572830539,52.77799243,683
Venustiano Carranza,PRIVADO,6599.573721,16.74367089,40,0.261437908,5291,7.56000756,56.88905689,301
Xochimilco,PRIVADO,4120.539841,13.55922865,53,0.395522388,4922,10.7679805,71.71881349,353