NOMGEO,IngresoPerCapita,GruposPublicos,GruposPrivados
Álvaro Obregón,10019.17632,26.87653599,18.61723701
Azcapotzalco,8704.379821,23.23429542,18.55625
Benito Juárez,17057.19246,23.48,18.40026076
Coyoacán,8113.512819,27.32938389,17.27089337
Cuajimalpa de Morelos,8833.246575,29.00733945,19.89634146
Cuauhtémoc,12860.19475,23.10218978,18.33
Gustavo A. Madero,6062.14207,25.59263332,16.81180812
Iztacalco,6431.20856,26.17518248,15.03272727
Iztapalapa,4362.04928,27.75859519,16.50271248
La Magdalena Contreras,6547.985621,27.6503937,17.19736842
Miguel Hidalgo,14128.95496,25.30204573,17.89221557
Milpa Alta,3466.664621,32.11965812,11.82089552
Tláhuac,4029.063496,30.53917439,14.45
Tlalpan,5578.796065,30.62633229,17.3704698
Venustiano Carranza,6599.573721,25.08857616,16.74367089
Xochimilco,4120.539841,30.25,13.55922865